User_ID,Latitude,Longitude,Altitude,Date,Time,Timestamp
IND-USR-001,17.688787,83.217947,243.0,2026-08-02,06:16:00,2026-08-02 06:16:00
IND-USR-001,17.689391,83.224592,57.6,2026-08-02,06:21:00,2026-08-02 06:21:00
IND-USR-001,17.685863,83.217563,822.3,2026-08-02,06:35:00,2026-08-02 06:35:00
IND-USR-001,17.693117,83.22157,243.4,2026-08-02,06:50:00,2026-08-02 06:50:00
IND-USR-001,17.684922,83.22067,774.7,2026-08-02,06:57:00,2026-08-02 06:57:00
IND-USR-001,17.684946,83.216637,687.9,2026-08-02,07:17:00,2026-08-02 07:17:00
IND-USR-001,17.687768,83.210847,727.3,2026-08-02,07:25:00,2026-08-02 07:25:00
IND-USR-001,17.6799,83.216251,946.2,2026-08-02,07:42:00,2026-08-02 07:42:00
IND-USR-001,17.682749,83.219757,478.8,2026-08-02,07:58:00,2026-08-02 07:58:00
IND-USR-001,16.502568,80.642351,477.5,2026-08-02,08:09:00,2026-08-02 08:09:00
IND-USR-001,16.512063,80.647097,898.5,2026-08-02,08:13:00,2026-08-02 08:13:00
IND-USR-001,16.50647,80.642301,439.8,2026-08-02,08:31:00,2026-08-02 08:31:00
IND-USR-001,16.504022,80.648444,212.2,2026-08-02,08:40:00,2026-08-02 08:40:00
IND-USR-001,16.501596,80.649503,55.7,2026-08-02,08:53:00,2026-08-02 08:53:00
IND-USR-001,16.503797,80.646833,475.2,2026-08-02,09:04:00,2026-08-02 09:04:00
IND-USR-001,16.503793,80.655409,278.6,2026-08-02,09:21:00,2026-08-02 09:21:00
IND-USR-001,16.506146,80.643769,806.3,2026-08-02,09:23:00,2026-08-02 09:23:00
IND-USR-001,16.50949,80.643117,135.9,2026-08-02,09:38:00,2026-08-02 09:38:00
IND-USR-001,16.507035,80.640161,693.9,2026-08-02,09:48:00,2026-08-02 09:48:00
IND-USR-001,16.500887,80.648787,354.0,2026-08-02,10:02:00,2026-08-02 10:02:00
IND-USR-001,16.509154,80.648685,58.1,2026-08-02,10:16:00,2026-08-02 10:16:00
IND-USR-001,16.505737,80.646796,193.0,2026-08-02,10:35:00,2026-08-02 10:35:00
IND-USR-001,16.500286,80.645121,281.3,2026-08-02,10:54:00,2026-08-02 10:54:00
IND-USR-001,16.504357,80.652228,484.0,2026-08-02,11:08:00,2026-08-02 11:08:00
IND-USR-001,16.507574,80.640948,272.9,2026-08-02,11:27:00,2026-08-02 11:27:00
IND-USR-001,16.507496,80.64646,130.9,2026-08-02,11:32:00,2026-08-02 11:32:00
IND-USR-001,16.503492,80.650447,380.3,2026-08-02,11:37:00,2026-08-02 11:37:00
IND-USR-001,16.510324,80.651725,534.4,2026-08-02,11:49:00,2026-08-02 11:49:00
IND-USR-001,16.502843,80.646763,719.7,2026-08-02,12:02:00,2026-08-02 12:02:00
IND-USR-001,16.507525,80.651902,576.3,2026-08-02,12:10:00,2026-08-02 12:10:00
IND-USR-001,16.504283,80.647257,480.1,2026-08-02,12:24:00,2026-08-02 12:24:00
IND-USR-001,16.501775,80.643215,46.6,2026-08-02,12:27:00,2026-08-02 12:27:00
IND-USR-001,16.50945,80.653425,765.7,2026-08-02,12:39:00,2026-08-02 12:39:00
IND-USR-001,16.505912,80.652014,439.6,2026-08-02,12:57:00,2026-08-02 12:57:00
IND-USR-001,16.507647,80.64542,141.4,2026-08-02,13:15:00,2026-08-02 13:15:00
IND-USR-001,16.507646,80.654152,162.8,2026-08-02,13:27:00,2026-08-02 13:27:00
IND-USR-001,16.506057,80.654259,568.1,2026-08-02,13:38:00,2026-08-02 13:38:00
IND-USR-001,16.495721,80.651288,788.6,2026-08-02,13:56:00,2026-08-02 13:56:00
IND-USR-001,16.506548,80.646804,470.5,2026-08-02,14:15:00,2026-08-02 14:15:00
IND-USR-001,16.506567,80.64005,291.8,2026-08-02,14:35:00,2026-08-02 14:35:00
IND-USR-001,16.505321,80.649428,356.3,2026-08-02,14:37:00,2026-08-02 14:37:00
IND-USR-001,16.512112,80.645927,931.1,2026-08-02,14:42:00,2026-08-02 14:42:00
IND-USR-001,16.502966,80.645993,299.2,2026-08-02,15:02:00,2026-08-02 15:02:00
IND-USR-001,16.509862,80.649315,571.1,2026-08-02,15:04:00,2026-08-02 15:04:00
IND-USR-001,16.504081,80.650053,919.0,2026-08-02,15:14:00,2026-08-02 15:14:00
IND-USR-001,16.506588,80.651875,553.0,2026-08-02,15:34:00,2026-08-02 15:34:00
IND-USR-001,16.503392,80.646689,558.5,2026-08-02,15:37:00,2026-08-02 15:37:00
IND-USR-001,16.504632,80.642146,502.8,2026-08-02,15:44:00,2026-08-02 15:44:00
IND-USR-001,16.507384,80.649044,148.9,2026-08-02,15:58:00,2026-08-02 15:58:00
