User_ID,Date_Only,Total_Distance_KM,Average_Speed_KMPH,Maximum_Speed_KMPH,Average_Acceleration_MPS2,GPS_Record_Count,Stop_Count,Anomaly_Count,Average_Altitude_M,Average_Direction_Value,Direction_Changes,Dominant_Direction,ML_Anomaly,ML_Anomaly_Label,ML_Anomaly_Score,Rule_Based_Anomaly,ML_Anomaly_Binary,Both_Anomaly,Anomaly_Agreement,ML_Risk_Score,Direction_Risk_Score,Rule_Risk_Score,Trajectory_Risk_Score,Risk_Level
0,2008-10-23,14.938621492739667,8.072698887482543,218.0986178725935,-0.0045401969525221,908,155,7,398.0936123348018,3.049559471365639,366,North,1,Normal,0.16278887669337677,1,0,0,Rule-Based Only,5.550898711844595,6.1522945032778615,100,29.313522981741762,Low Risk
0,2008-10-24,1.446415738046534,3.46193284881715,104.12748249655932,0.0029490933829793,244,139,2,107.41803278688523,2.7172131147540983,153,North,1,Normal,0.14279528214641235,1,0,0,Rule-Based Only,10.346732499165386,2.5718608169440245,100,30.816331453818698,Low Risk
0,2008-10-26,30.70903840728849,10.55034306877399,131.93031481507114,0.0019506748473624,745,96,16,105.25369127516778,2.8496644295302014,322,East,1,Normal,0.16813575248814178,1,0,0,Rule-Based Only,4.26835156741253,5.412674399058665,100,28.48734438347093,Low Risk
0,2008-10-27,9.498046992611982,6.967158908802705,19.37491778353481,0.0039017629297523,50,7,4,507.78,3.6,27,West,1,Normal,0.09866292530393361,1,0,0,Rule-Based Only,20.932695296504992,0.45385779122541603,100,35.579812096058845,Low Risk
0,2008-10-28,10.743220480956554,3.69116685349567,71.27399146672484,0.0027001183040529,1477,493,4,96.35003385240351,2.828706838185511,789,South,1,Normal,0.15410367234092548,1,0,0,Rule-Based Only,7.634205762281683,13.262733232476046,100,32.13278618925985,Low Risk
0,2008-10-29,7.899332436540768,14.624767868546924,403.7129358568723,-0.0515017808501409,203,58,5,164.41379310344828,3.3201970443349755,89,South,1,Normal,0.11072820704590391,1,0,0,Rule-Based Only,18.038614109864593,1.4960497562615565,100,34.39331949399769,Low Risk
0,2008-11-03,8.426148576926149,8.44409477030774,208.8607416342612,0.0023128423902056,367,21,4,223.56403269754767,4.247956403269755,117,West,1,Normal,0.12039790436260439,1,0,0,Rule-Based Only,15.719158196338617,1.9667170953101363,100,33.35125837199684,Low Risk
0,2008-11-04,10.700635804430537,4.01299819500983,62.67070033063711,0.0022745488239009,1871,605,0,111.7076429716729,3.024585783003741,976,South,1,Normal,0.14788548678865165,0,0,0,Normal,9.125752682340263,16.406118675407633,0,8.66440601002204,Normal
0,2008-11-10,8.54878522398607,14.82084808972411,254.18836173041532,0.0058388685046829,272,16,13,341.4742647058824,2.919117647058824,103,North,1,Normal,0.14032866919454495,1,0,0,Rule-Based Only,10.93839527931338,1.7313834257858465,100,30.902043496103154,Low Risk
0,2008-11-11,14.752873051371663,5.3293607160217125,138.85883358246076,-0.0011821418970977,1477,366,6,192.52268111035883,3.226811103588355,835,North,1,Normal,0.17585580988114546,1,0,0,Rule-Based Only,2.416552882666069,14.03597243234157,100,29.717269549418425,Low Risk
