User_ID,Date_Only,Total_Distance_KM,Average_Speed_KMPH,Maximum_Speed_KMPH,Anomaly_Count,Dominant_Direction,Direction_Changes,ML_Anomaly_Label,ML_Anomaly_Score,Trajectory_Risk_Score,Risk_Level
5,2009-01-14,84.61523175849075,8.766029778197412,1054.0653874665757,746,North,5949,Anomaly,-0.21988174510517733,98.6707658065402,High Risk
5,2009-01-16,56.98846234023472,8.5389996149339,956.1299647469565,428,North,4650,Anomaly,-0.16458039149100434,86.5793384303614,High Risk
3,2009-01-20,1327.953667427524,87.04603283505854,306.45609375466006,2461,South-East,1614,Anomaly,-0.21906398298034824,80.35534066087794,High Risk
3,2009-02-14,86.55562277053804,5.168052118054328,226.1240306130219,53,North,4939,Anomaly,-0.1024601630205404,80.34348485497735,High Risk
3,2009-04-03,111.2633744995471,8.83865459407636,752.4807857965533,18,North,4404,Anomaly,-0.1152165822836726,79.62513949158233,High Risk
0,2009-04-03,111.2633744995471,8.83865459407636,752.4807857965533,18,North,4404,Anomaly,-0.1152165822836726,79.62513949158233,High Risk
2,2008-11-01,123.1429929592468,25.44719646498127,1556.0426072539428,197,West,3681,Anomaly,-0.14034616263012212,79.60071125366737,High Risk
2,2009-01-31,611.2634969926895,68.83643283027358,2536.983751994352,305,East,781,Anomaly,-0.23096476870464333,78.28206421247269,High Risk
5,2009-01-13,47.28211963504357,8.028438906640007,3296.1923519290276,268,North,3387,Anomaly,-0.13773700864686567,78.05228254599251,High Risk
3,2009-02-21,91.23741619676757,7.265171660367416,392.7683939182473,25,North,4428,Anomaly,-0.08881021009284895,76.55896816703664,High Risk
3,2009-03-22,1205.7403428755747,106.92177301581076,143.66783807438645,4566,North-West,670,Anomaly,-0.21825651975780713,76.29144487348967,High Risk
4,2009-01-20,1076.8253661540382,85.5327659642506,169.95667227183696,2395,North-East,926,Anomaly,-0.1970914122957591,74.82883451024223,Medium Risk
5,2008-11-30,2035.7027511950653,4.8549609842554275,260.83980521984694,18,North,3607,Anomaly,-0.1017881756417276,74.6653111233125,Medium Risk
8,2008-11-19,79.1257886928775,21.81411095334818,5050.755235912178,222,North,2173,Anomaly,-0.13666253493580105,72.82171857616322,Medium Risk
3,2009-02-04,1270.1709247591195,89.09119106670882,306.2049050207626,2054,North,847,Anomaly,-0.18300951206207472,72.80794370827854,Medium Risk
2,2009-01-28,27.76937109984707,12.602642786395315,348.5701580504805,102,East,2788,Anomaly,-0.11451578730173084,72.75003284601452,Medium Risk
1,2008-12-13,24.83206574324238,6.2559115871016635,142.33754491701998,27,North,3639,Anomaly,-0.0770753036127989,71.83586757695073,Medium Risk
7,2008-11-01,99.64688747901043,4.2846890958872255,160.76559290157482,21,North,3074,Anomaly,-0.09432974982406905,71.53091812192821,Medium Risk
3,2009-01-25,18.472820742341014,1.9789202248983828,598.3228601146877,19,North,3629,Anomaly,-0.07416077338673133,71.4442916921334,Medium Risk
3,2009-03-20,1141.1007072727232,85.3103867849266,147.11618105421303,1940,South-East,723,Anomaly,-0.16552520093050815,70.18987987248553,Medium Risk
